s1,sum(times)
Analyse,196
Analyse,192
Analyse,204
Analyse,160
"Besprechung (intern)",230
"Besprechung (intern)",156
Anforderungsmanagement,182
Anforderungsmanagement,224
CMS-Umsetzung,162
Analyse,320
Analyse,176
"Besprechung (intern)",168
Analyse,104
Anforderungsmanagement,336
Anforderungsmanagement,180
Analyse,192
Analyse,340
Analyse,252
Briefing,304
Anforderungsmanagement,240
"Besprechung (intern)",210
Analyse,176
Analyse,460
Anforderungsmanagement,288
Anforderungsmanagement,50
"Besprechung (intern)",208
Contentpflege,162
Analyse,56
"Besprechung (intern)",348
Analyse,180
Anforderungsmanagement,192
Analyse,264
Projektmanagement,68
Briefing,70
"Besprechung (intern)",216
Anforderungsmanagement,74
"Konzeption (inhaltlich)",76
Analyse,156
"Konzeption (technisch)",80
Medienerzeugung,82
Medienerzeugung,88
Anforderungsmanagement,180
Dokumentation,92
Analyse,282
Briefing,96
Consulting,204
"Besprechung (intern)",324
Deployment,110
"Meeting (extern)",342
Analyse,232
"Besprechung (intern)",236
Design,122
Contentpflege,124
"Konzeption (inhaltlich)",384
CMS-Umsetzung,132
Briefing,140
Briefing,142
Contentpflege,148
CMS-Umsetzung,150
"Besprechung (intern)",152
HTML-/CSS-Umsetzung,162
Analyse,164
HTML-/CSS-Umsetzung,166
Briefing,168
"Besprechung (intern)",516
Projektmanagement,190
Anforderungsmanagement,196
Design,198
CMS-Umsetzung,204
Intern,208
CMS-Umsetzung,636
Anforderungsmanagement,440
Analyse,222
Design,232
Contentpflege,244
Analyse,248
Analyse,250
Consulting,254
Analyse,258
"Besprechung (intern)",520
Deployment,266
CMS-Umsetzung,276
Deployment,286
CMS-Umsetzung,292
"Besprechung (intern)",296
Javascript-Umsetzung,318
"Besprechung (intern)",322
"Besprechung (intern)",326
"Besprechung (intern)",344
Analyse,720
Briefing,390
Analyse,800
HTML-/CSS-Umsetzung,420
Medienerzeugung,436
Deployment,438
HTML-/CSS-Umsetzung,472
PHP-Umsetzung,474
CMS-Umsetzung,482
Anforderungsmanagement,484
"Besprechung (intern)",494
Projektmanagement,518
Javascript-Umsetzung,530
"Besprechung (intern)",538
"Besprechung (intern)",540
Briefing,590
Analyse,616
PHP-Umsetzung,634
Deployment,656
Briefing,676
Briefing,690
"Konzeption (inhaltlich)",692
Briefing,782
"Besprechung (intern)",792
Analyse,800
Design,802
"Besprechung (intern)",852
"Besprechung (intern)",940
Contentpflege,972
Contentpflege,1070
Briefing,1114
HTML-/CSS-Umsetzung,1170
Contentpflege,1192
Briefing,1474
Medienerzeugung,1638
Briefing,1684
Design,1712
Projektmanagement,1870
Briefing,1900
"Besprechung (intern)",2076
Briefing,2378
Contentpflege,3314
HTML-/CSS-Umsetzung,4162
